Instance,firstObjective,finalObjective,time(s)
B-n31-k5-r8_1_2_0.5,188.651,178.95,0.93
B-n31-k5-r8_1_2_1.00,178.95,178.95,0.70
B-n31-k5-r8_1_2_2.00,237.03,178.95,0.75
B-n31-k5-r8_2_2_0.50,237.75,178.95,0.74
B-n31-k5-r8_2_2_1.00,221.49,178.95,0.74
B-n31-k5-r8_2_2_2.00,265.25,178.95,0.74
B-n31-k5-r8_3_2_0.50,221.42,178.95,0.73
B-n31-k5-r8_3_2_1.00,221.87,178.95,0.71
B-n31-k5-r8_3_2_2.00,233.29,178.95,0.75
B-n31-k5-r8_1_3_0.50,232.25,178.95,0.71
B-n31-k5-r8_1_3_1.00,230.35,178.95,0.71
B-n31-k5-r8_1_3_2.00,228.22,178.95,0.68
B-n31-k5-r8_2_3_0.50,232.14,178.95,0.69
B-n31-k5-r8_2_3_1.00,189.58,178.95,0.72
B-n31-k5-r8_2_3_2.00,221.37,178.95,0.66
B-n31-k5-r8_3_3_0.50,225.80,178.95,0.71
B-n31-k5-r8_3_3_1.00,178.95,178.95,0.66
B-n31-k5-r8_3_3_2.00,189.58,178.95,0.73
B-n31-k5-r8_1_4_0.50,224.63,178.95,0.72
B-n31-k5-r8_1_4_1.00,184.44,178.95,0.69
B-n31-k5-r8_1_4_2.00,221.58,178.95,0.72
B-n31-k5-r8_2_4_0.50,189.14,178.95,0.68
B-n31-k5-r8_2_4_1.00,178.95,178.95,0.64
B-n31-k5-r8_2_4_2.00,226.37,178.95,0.70
B-n31-k5-r8_3_4_0.50,219.92,178.95,0.71
B-n31-k5-r8_3_4_1.00,230.71,178.95,0.64
B-n31-k5-r8_3_4_2.00,189.58,178.95,0.64
B-n31-k5-r8_1_5_0.50,223.61,178.95,0.79
B-n31-k5-r8_1_5_1.00,236.61,178.95,0.73
B-n31-k5-r8_1_5_2.00,229.88,178.95,0.65
B-n31-k5-r8_2_5_0.50,218.03,178.95,0.70
B-n31-k5-r8_2_5_1.00,188.08,178.95,0.65
B-n31-k5-r8_2_5_2.00,215.69,178.95,0.74
B-n31-k5-r8_3_5_0.50,211.19,178.95,0.71
B-n31-k5-r8_3_5_1.00,189.59,178.95,0.81
B-n31-k5-r8_3_5_2.00,184.44,178.95,0.76
B-n31-k5-r12_1_2_0.50,253.81,189.58,0.74
B-n31-k5-r12_1_2_1.00,229.06,189.58,0.86
B-n31-k5-r12_1_2_2.00,189.58,189.58,0.91
B-n31-k5-r12_2_2_0.50,255.14,189.58,0.83
B-n31-k5-r12_2_2_1.00,231.37,189.58,0.78
B-n31-k5-r12_2_2_2.00,239.09,189.58,0.84
B-n31-k5-r12_3_2_0.50,245.39,189.58,0.78
B-n31-k5-r12_3_2_1.00,254.50,189.58,0.82
B-n31-k5-r12_3_2_2.00,189.58,189.58,0.72
B-n31-k5-r12_1_3_0.50,231.16,189.58,0.67
B-n31-k5-r12_1_3_1.00,189.58,189.58,0.71
B-n31-k5-r12_1_3_2.00,189.58,189.58,0.75
B-n31-k5-r12_2_3_0.50,188.17,188.17,0.78
B-n31-k5-r12_2_3_1.00,189.58,189.58,0.68
B-n31-k5-r12_2_3_2.00,216.49,189.58,0.72
B-n31-k5-r12_3_3_0.50,189.58,189.58,0.67
B-n31-k5-r12_3_3_1.00,237.60,189.58,0.70
B-n31-k5-r12_3_3_2.00,226.71,189.58,0.69
B-n31-k5-r12_1_4_0.50,189.58,189.58,0.69
B-n31-k5-r12_1_4_1.00,224.98,189.58,0.68
B-n31-k5-r12_1_4_2.00,235.62,188.17,0.84
B-n31-k5-r12_2_4_0.50,188.17,188.17,0.83
B-n31-k5-r12_2_4_1.00,189.58,189.58,0.66
B-n31-k5-r12_2_4_2.00,189.58,188.17,0.87
B-n31-k5-r12_3_4_0.50,189.58,188.17,0.86
B-n31-k5-r12_3_4_1.00,189.58,189.58,0.69
B-n31-k5-r12_3_4_2.00,189.58,189.58,0.70
B-n31-k5-r12_1_5_0.50,188.34,188.17,0.71
B-n31-k5-r12_1_5_1.00,231.84,189.58,0.70
B-n31-k5-r12_1_5_2.00,226.43,188.17,0.88
B-n31-k5-r12_2_5_0.50,189.58,188.17,1.20
B-n31-k5-r12_2_5_1.00,189.58,188.17,0.88
B-n31-k5-r12_2_5_2.00,234.50,188.04,1.39
B-n31-k5-r12_3_5_0.50,229.88,189.58,0.68
